xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
W49772132,Chiesa di Santa Maria della Catena,null,null,https://en.wikipedia.org/wiki/Santa%20Maria%20della%20Catena%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Palermo-12.jpg,Palermo Corso Vittorio Emanuele SIC PA I Circoscrizione Italia 90133 it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.369518280029297,38.119171142578125
W49786667,Chiesa dei Santi Pietro e Paolo,null,null,https://it.wikipedia.org/wiki/Chiesa%20dei%20Santi%20Pietro%20e%20Paolo%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Palermo-AP-p1070708.jpg,Palermo Via Villaermosa Villa Ermosa Cafe Bistrot SIC PA I Circoscrizione Italia 90132 it 25 La Loggia ,"religion,churches,interesting_places,catholic_churches",13.359648704528809,38.12242126464844
W49789495,Chiesa di San Francesco Saverio,null,null,https://en.wikipedia.org/wiki/San%20Francesco%20Saverio%2C%20Palermo,https://commons.wikimedia.org/wiki/File:St._Francis_Xavier_church.JPG,Palermo Via Andrea Vesalio SIC PA I Circoscrizione Italia 90127 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.358450889587402,38.10948944091797
W49773340,Santa Maria dei Miracoli,null,null,https://de.wikipedia.org/wiki/Santa%20Maria%20dei%20Miracoli%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Santa_Maria_dei_Miracoli_-_Palermo_-_Italy_2015.JPG,Palermo Via Quattro Aprile SIC PA I Circoscrizione Italia 90133 Piazza Marina it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.368647575378418,38.11674880981445
W49772133,Santa Maria Porto Salvo,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20di%20Porto%20Salvo,https://commons.wikimedia.org/wiki/File:Santa_Maria_di_Portosalvo.jpg,Palermo Corso Vittorio Emanuele SIC PA I Circoscrizione Italia 90133 it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.367843627929688,38.11842727661133
N4589887503,Santa Maria di Gesù al Capo,null,null,https://it.wikipedia.org/wiki/Santa%20Maria%20di%20Ges%C3%B9%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:PALERMO_S.Maria_di_Ges.JPG,Palermo SIC PA Italia Santa Maria di Gesù 90124 it ,"religion,churches,interesting_places,other_churches",13.379697799682617,38.08328628540039
W80979177,Santa Maria di Gesù al Capo,null,null,https://it.wikipedia.org/wiki/Santa%20Maria%20di%20Ges%C3%B9%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:PALERMO_S.Maria_di_Ges.JPG,Palermo SIC PA III Circoscrizione Italia 90124 it Chiavelli ,"religion,churches,interesting_places,other_churches",13.378950119018555,38.082061767578125
W80840224,San Ciro,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Ciro%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Chiesa_di_san_ciro.JPG,Palermo Viale Regione Siciliana Sud Est SIC PA II Circoscrizione Italia 90124 it Settecannoli ,"religion,churches,interesting_places,catholic_churches",13.385920524597168,38.0884895324707
W747164879,Chiesa di Santa Maria della Pace,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20della%20Pace%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Snow_in_Palermo_9.jpg,Palermo Piazza Cappuccini SIC PA IV Circoscrizione Italia 90129 it ,"religion,churches,interesting_places,catholic_churches",13.339482307434082,38.11172866821289
W86886700,Santa Maria La nuova,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20la%20Nova%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Santa_Maria_la_Nova%2C_Palermo.jpg,Palermo SIC PA I Circoscrizione Italia Piazza San Giacomo it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.365371704101562,38.11924743652344
W86870899,Santa Maddalena,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20Maddalena%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Santa_Maria_Maddalena_facciata.jpg,"Palermo Corso Vittorio Emanuele Caserma ""Dalla Chiesa - Calatafimi"" SIC PA I Circoscrizione Italia 90134 it 475 Albergheria ","religion,churches,interesting_places,catholic_churches",13.352792739868164,38.11259078979492
W279885755,Oratorio del Carminello,null,null,https://it.wikipedia.org/wiki/Oratorio%20del%20Carminello,https://commons.wikimedia.org/wiki/File:Oratorio_del_Carminello.jpg,Palermo Via Chiappara al Carmine SIC PA I Circoscrizione Italia 90140 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.361703872680664,38.10999298095703
W49773335,Chiesa del Carmine Maggiore,http://carminemaggiorepa.blogspot.it/,null,https://it.wikipedia.org/wiki/Chiesa%20del%20Carmine%20Maggiore,https://commons.wikimedia.org/wiki/File:Cr%C3%A8sia_di_lu_C%C3%A0rminu_-_c%C3%B9pula.jpg,Palermo Vicolo del Bosco SIC PA I Circoscrizione Italia 90140 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.361451148986816,38.111087799072266
